название, обьем, min_price_increment, тип, min_quantity, i.ticker, i.currency, i.figi
"Нижнекамскнефтехим - акции привилегированные", 10, 0.02, Stock, None, NKNCP, RUB, BBG000GQSVC2 
"ДЭК", 1000, 0.001, Stock, None, DVEC, RUB, BBG000V07CB8 
"Наука-Связь", 10, 0.5, Stock, None, NSVZ, RUB, BBG002BCQK67 
"ТГК-2 - акции привилегированные", 100000, 0.00001, Stock, None, TGKBP, RUB, BBG000Q7GJ60 
"ПРОТЕК", 10, 0.1, Stock, None, PRTK, RUB, BBG000TZGXK8 
"НОВАТЭК", 1, 0.2, Stock, None, NVTK, RUB, BBG00475KKY8 
"Квадра", 100000, 0.000005, Stock, None, TGKD, RUB, BBG000F6H7K3 
"Ашинский метзавод", 100, 0.005, Stock, None, AMEZ, RUB, BBG000RJWGC4 
"Детский Мир", 10, 0.02, Stock, None, DSKY, RUB, BBG000BN56Q9 
"Мечел", 1, 0.01, Stock, None, MTLR, RUB, BBG004S68598 
"РКК Энергия им.С.П.Королева", 1, 10.0, Stock, None, RKKE, RUB, BBG000LWNRP3 
"Лента", 1, 0.1, Stock, None, LNTA, RUB, BBG000QQPXZ5 
"МРСК Сибири", 10000, 0.0005, Stock, None, MRKS, RUB, BBG000VJMH65 
"Обувь России", 10, 0.02, Stock, None, ORUP, RUB, BBG001BBGNS2 
"МРСК Юга", 10000, 0.00005, Stock, None, MRKY, RUB, BBG000C7P5M7 
"ГДР En+ Group", 1, 0.2, Stock, None, ENPL, RUB, BBG00J5LMW10 
"ОВК", 1, 0.1, Stock, None, UWGN, RUB, BBG008HD3V85 
"Пермэнергосбыт", 10, 0.1, Stock, None, PMSB, RUB, BBG000MZL0Y6 
"Белуга Групп ПАО ао", 1, 1, Stock, None, BELU, RUB, BBG000TY1CD1 
"ДВМП", 100, 0.01, Stock, None, FESH, RUB, BBG000QF1Q17 
"MD Medical Group Investments PLC", 10, 0.1, Stock, None, MDMG, RUB, BBG003GTN5S5 
"Polymetal", 1, 0.1, Stock, None, POLY, RUB, BBG004PYF2N3 
"МКБ", 100, 0.001, Stock, None, CBOM, RUB, BBG009GSYN76 
"Мостотрест", 10, 0.05, Stock, None, MSTT, RUB, BBG004S68DD6 
"НКХП", 10, 0.5, Stock, None, NKHP, RUB, BBG00BGKYH17 
"Дагестанская энергосбытовая компания", 1000, 0.0001, Stock, None, DASB, RUB, BBG000LWVHN8 
"МРСК Центра", 1000, 0.0002, Stock, None, MRKC, RUB, BBG000VH7TZ8 
"Центральный Телеграф - акции привилегированные", 100, 0.02, Stock, None, CNTLP, RUB, BBG0027F0Y27 
"Интер РАО ЕЭС", 100, 0.0005, Stock, None, IRAO, RUB, BBG004S68473 
"Globaltrans Investment PLC", 10, 0.05, Stock, None, GLTR, RUB, BBG000VFX6Y4 
"Центральный Телеграф", 100, 0.02, Stock, None, CNTL, RUB, BBG000BBV4M5 
"Аэрофлот", 10, 0.02, Stock, None, AFLT, RUB, BBG004S683W7 
"ГДР X5 RetailGroup", 1, 0.5, Stock, None, FIVE, RUB, BBG00JXPFBN0 
"АбрауДюрсо", 10, 0.5, Stock, None, ABRD, RUB, BBG002W2FT69 
